Abbeville,27455,50.12N,1.83E
Acheres,26482,48.97N,2.06E
Agde,25072,43.33N,3.46E
Agen,35956,44.20N,0.62E
Aire-sur-la-Lys,10725,50.64N,2.39E
Aix-en-Provence,157102,43.53N,5.44E
Aix-les-Bains,28928,45.70N,5.90E
Ajaccio,54650,41.93N,8.73E
Albert,10803,50.00N,2.65E
Albertville,19860,45.68N,6.38E
Albi,55147,43.93N,2.15E
Alencon,30899,48.44N,0.09E
Ales,42745,44.13N,4.08E
Alfortville,38656,48.81N,2.42E
Allauch,23853,43.34N,5.48E
Allonnes,11701,47.97N,0.14E
Ambares-et-Lagrave,13928,44.92N,0.49W
Amberieu-en-Bugey,14458,45.97N,5.33E
Amboise,13385,47.41N,0.98E
Amiens,147021,49.90N,2.30E
Amilly,13957,47.97N,2.78E
Amneville,10851,49.26N,6.14E
Andernos-les-Bains,11071,44.73N,1.10W
Andresy,13392,48.99N,2.07E
Andrezieux-Boutheon,9532,45.53N,4.26E
Angers,181863,47.48N,0.54W
Anglet,43838,43.49N,1.51W
Angouleme,52429,45.66N,0.15E
Aniche,10278,50.33N,3.25E
Annecy,47229,45.91N,6.12E
Annecy-le-Vieux,23212,45.92N,6.15E
Annemasse,28667,46.20N,6.22E
Annoeullin,11206,50.53N,2.94E
Annonay,18521,45.24N,4.66E
Antibes,79676,43.60N,7.12E
Antony,60266,48.76N,2.30E
Anzin,14600,50.37N,3.49E
Apt,11793,43.88N,5.39E
Arcachon,12584,44.66N,1.18W
Arcueil,16817,48.80N,2.32E
Argeles-sur-Mer,10715,42.55N,3.02E
Argentan,18783,48.75N,0.03W
Argenteuil,107857,48.94N,2.24E
Arles,54518,43.69N,4.63E
Armentieres,27193,50.69N,2.88E
Arnouville-les-Gonesse,13306,48.99N,2.41E
Arpajon,10469,48.58N,2.25E
Arques,9620,50.73N,2.28E
Arras,50196,50.29N,2.78E
Asnieres-sur-Seine,97040,48.91N,2.29E
Athis-Mons,32777,48.71N,2.38E
Aubagne,46767,43.29N,5.56E
Aubenas,13993,44.63N,4.36E
Aubergenville,12293,48.97N,1.85E
Aubervilliers,77808,48.92N,2.39E
Aubiere,11878,45.76N,3.11E
Auch,25261,43.65N,0.58E
Auchel,11312,50.50N,2.48E
Audincourt,15405,47.49N,6.83E
Aulnay-sous-Bois,81717,48.96N,2.49E
Auray,13324,47.68N,3.01W
Aurillac,36350,44.92N,2.43E
Auriol,10262,43.38N,5.63E
Autun,18381,46.96N,4.29E
Auxerre,42389,47.81N,3.56E
Avignon,90426,43.96N,4.81E
Avion,18484,50.40N,2.83E
Avon,15793,48.41N,2.72E
Avrille,14323,47.51N,0.58W
Bagneux,40806,48.79N,2.30E
Bagnolet,34678,48.86N,2.41E
Bagnols-sur-Ceze,20209,44.17N,4.62E
Bailleul,15277,50.74N,2.74E
Balma,18507,43.61N,1.50E
Barentin,13599,49.55N,0.95E
Bar-le-Duc,19007,48.78N,5.17E
Bastia,43340,42.71N,9.46E
Bayeux,16319,49.28N,0.70W
Bayonne,46233,43.50N,1.48W
Beaucaire,15208,43.82N,4.64E
Beauchamp,10118,49.02N,2.20E
Beauchamps,9540,49.01N,2.20E
Beaumont,13513,45.76N,3.08E
Beaumont-sur-Oise,9565,49.13N,2.28E
Beaune,25162,47.03N,4.83E
Beausoleil,13924,43.75N,7.41E
Beauvais,50914,49.43N,2.09E
Begles,23951,44.80N,0.54W
Behren-les-Forbach,10229,49.17N,6.95E
Belfort,56430,47.65N,6.85E
Bellegarde-sur-Valserine,11970,46.12N,5.82E
Belley,9738,45.77N,5.68E
Berck,16245,50.41N,1.57E
Bergerac,28982,44.86N,0.48E
Bernay,12983,49.10N,0.60E
Berre-l'Etang,14733,43.49N,5.17E
Berre-l'Etang,14543,43.47N,5.18E
Besancon,134159,47.24N,6.02E
Bethune,34394,50.53N,2.64E
Betton,10079,48.18N,1.65W
Beziers,74819,43.35N,3.21E
Bezons,28952,48.93N,2.20E
Biarritz,35035,43.48N,1.55W
Billere,15888,43.31N,0.41W
Biscarrosse,11406,44.40N,1.17W
Bischheim,17717,48.61N,7.75E
Bischwiller,12713,48.77N,7.85E
Blagnac,27472,43.63N,1.39E
Blanquefort,18246,44.94N,0.63W
Blois,55501,47.59N,1.32E
Bobigny,46218,48.91N,2.44E
Bois-Colombes,24881,48.92N,2.27E
Bois-d'Arcy,12114,48.81N,2.02E
Bois-Guillaume,15053,49.47N,1.12E
Boissy-Saint-Leger,16553,48.75N,2.51E
Bolbec,13308,49.57N,0.48E
Bollene,15172,44.29N,4.74E
Bondoufle,10163,48.62N,2.38E
Bondues,11665,50.71N,3.10E
Bondy,50062,48.91N,2.47E
Bonneuil,21351,48.77N,2.48E
Bonneville,12447,46.09N,6.40E
Bordeaux,241724,44.84N,0.58W
Bouc-Bel-Air,13974,43.45N,5.42E
Bougival,9359,48.87N,2.13E
Bouguenais,17819,47.18N,1.62W
Boulogne-Billancourt,111743,48.83N,2.24E
Boulogne-sur-Mer,48277,50.72N,1.60E
Bourg-de-Peage,10359,45.03N,5.05E
Bourg-en-Bresse,47229,46.21N,5.21E
Bourges,62444,47.08N,2.39E
Bourg-la-Reine,19482,48.78N,2.30E
Bourg-les-Valence,20461,44.96N,4.88E
Bourgoin-Jallieu,25830,45.60N,5.27E
Bressuire,22057,46.85N,0.50W
Brest,138747,48.39N,4.50W
Bretigny-sur-Orge,26770,48.62N,2.30E
Briancon,11913,44.91N,6.62E
Brie-Comte-Robert,18149,48.70N,2.60E
Brignais,13445,45.68N,4.75E
Brignoles,16769,43.42N,6.06E
Brive-la-Gaillarde,56231,45.16N,1.51E
Bron,37489,45.74N,4.91E
Bruay-la-Brussiere,24371,50.49N,2.53E
Bruay-sur-l'Escaut,12288,50.39N,3.53E
Bruges,14391,44.89N,0.62W
Brumath,9790,48.73N,7.72E
Brunoy,24583,48.71N,2.49E
Bruz,15678,48.03N,1.75W
Bry-sur-Marne,17557,48.84N,2.50E
Bully-les-Mines,11802,50.44N,2.72E
Bures-sur-Yvette,11109,48.70N,2.17E
Bussy-Saint-Georges,10953,48.85N,2.71E
Buxerolles,9956,46.62N,0.48E
Cabestany,9565,42.68N,2.93E
Cachan,28048,48.78N,2.32E
Caen,105785,49.19N,0.36W
Cagnes-sur-Mer,49764,43.68N,7.13E
Cahors,24963,44.46N,1.44E
Calais,71756,50.95N,1.86E
Caluire-et-Cuire,43573,45.80N,4.83E
Cambrai,37779,50.17N,3.23E
Canet-en-Roussillon,11713,42.70N,3.03E
Cannes,70891,43.56N,7.02E
Canteleu,15521,49.45N,1.03E
Carcassonne,51677,43.22N,2.34E
Carmaux,10357,44.05N,2.16E
Carpentras,32223,44.07N,5.04E
Carquefou,20651,47.30N,1.50W
Carqueiranne,9814,43.08N,6.08E
Carrieres-sous-Poissy,17586,48.95N,2.03E
Carrieres-sur-Seine,13659,48.92N,2.19E
Carros,11071,43.80N,7.18E
Carvin,19128,50.49N,2.95E
Castanet-Tolosan,12598,43.52N,1.50E
Castelginest,9490,43.70N,1.43E
Castelnaudary,12924,43.32N,1.95E
Castelnau-le-Lez,21132,43.64N,3.89E
Castelsarassin,14147,44.04N,1.10E
Castres,48697,43.61N,2.23E
Caudebec-les-Elbeuf,10104,49.28N,1.04E
Caudry,13985,50.13N,3.40E
Cavaillon,28372,43.85N,5.03E
Cenon,22881,44.85N,0.53W
Cergy,56916,49.04N,2.07E
Cernay,11343,47.81N,7.17E
Cesson-Sevigne,20749,48.12N,1.62W
Cestas,18589,44.75N,0.69W
Chalette-sur-Loing,14234,48.02N,2.73E
Challans,21314,46.85N,1.88W
Chalons-en-Champagne,53071,48.97N,4.36E
Chalon-sur-Saone,43037,46.79N,4.84E
Chamalieres,21565,45.78N,3.06E
Chambery,65067,45.58N,5.91E
Chambly,9793,49.17N,2.25E
Chambray-les-Tours,11255,47.33N,0.72E
Chamonix-Mont-Blanc,11013,45.93N,6.85E
Champigny-sur-Marne,79075,48.82N,2.51E
Champs-sur-Marne,30961,48.86N,2.59E
Chanteloup-les-Vignes,9549,48.99N,2.03E
Chantilly,11009,49.19N,2.46E
Charenton-le-Pont,35574,48.82N,2.41E
Charleville-Mezieres,48912,49.75N,4.73E
Chartres,45606,48.46N,1.48E
Chassieu,9704,45.75N,4.97E
Chateaubriant,13387,47.72N,1.37W
Chateau-d'Olonne,17299,46.51N,1.74W
Chateaudun,16632,48.08N,1.34E
Chateau-Gontier,13001,47.83N,0.71W
Chateauneuf-les-Martigues,11547,43.39N,5.15E
Chateaurenard,15313,43.88N,4.84E
Chateauroux,54375,46.81N,1.70E
Chateau-Thierry,16172,49.05N,3.40E
Chatellerault,38515,46.81N,0.54E
Chatenay-Malabry,34853,48.78N,2.27E
Chatillon,33576,48.81N,2.29E
Chatou,31621,48.89N,2.14E
Chaumont,30109,48.11N,5.14E
Chauny,13276,49.62N,3.22E
Chaville,19552,48.81N,2.17E
Chelles,48660,48.89N,2.60E
Chennevieres-sur-Marne,18943,48.80N,2.53E
Chenove,15164,47.29N,5.00E
Cherbourg,26364,49.64N,1.63W
Chevigny-Saint-Sauveur,10777,47.30N,5.13E
Chevilly-Larue,22181,48.76N,2.35E
Chilly-Mazarin,20063,48.71N,2.31E
Chinon,9702,47.17N,0.25E
Choisy-le-Roi,37040,48.76N,2.40E
Cholet,51318,47.07N,0.88W
Clamart,54229,48.80N,2.26E
Claye-Souilly,11841,48.95N,2.69E
Clermont,12258,49.39N,2.41E
Clermont-Ferrand,136922,45.78N,3.08E
Clichy,64400,48.91N,2.30E
Clichy-sous-Bois,30115,48.92N,2.55E
Cluses,21235,46.06N,6.60E
Cognac,21570,45.69N,0.33W
Cogolin,10524,43.25N,6.53E
Colmar,63907,48.08N,7.36E
Colombes,91967,48.93N,2.25E
Colomiers,33291,43.62N,1.33E
Combs-la-Ville,23745,48.67N,2.56E
Comines,13013,50.77N,3.01E
Compiegne,45095,49.41N,2.82E
Concarneau,22971,47.87N,3.93W
Conde-sur-l'Escaut,9957,50.46N,3.58E
Conflans-Sainte-Honorine,39133,49.01N,2.10E
Corbas,10125,45.67N,4.90E
Corbeil-Essonnes,41621,48.61N,2.47E
Cormeilles-en-Parisis,24353,48.97N,2.19E
Cosne-Cours-sur-Loire,11552,47.41N,2.93E
Coudekerque-Branche,25794,51.04N,2.40E
Couëron,21092,47.22N,1.73W
Coulommiers,16485,48.82N,3.08E
Courbevoie,80175,48.90N,2.25E
Courcouronnes,15825,48.62N,2.42E
Cournon-d'Auvergne,20225,45.74N,3.19E
Courrieres,10020,50.45N,2.93E
Coutances,9706,49.06N,1.45W
Cran-Gevrier,20960,45.90N,6.10E
Creil,31856,49.27N,2.46E
Crepy-en-Valois,16634,49.24N,2.89E
Creteil,87622,48.79N,2.45E
Creutzwald,14207,49.20N,6.70E
Croissy-sur-Seine,11660,48.88N,2.14E
Croix,21795,50.67N,3.14E
Crolles,9525,45.28N,5.88E
Cuers,9488,43.23N,6.07E
Cugnaux,17225,43.54N,1.35E
Cusset,15020,46.14N,3.45E
Dammarie-les-Lys,21559,48.51N,2.64E
Dax,23549,43.73N,1.04W
Decines-Charpieu,24889,45.77N,4.93E
Denain,22118,50.33N,3.39E
Deuil-la-Barre,23039,48.97N,2.31E
Deville-les-Rouen,10485,49.46N,1.03E
Dieppe,35404,49.93N,1.08E
Digne-les-Bains,20326,44.10N,6.23E
Dijon,145441,47.33N,5.03E
Dinan,12772,48.47N,2.06W
Dinard,13091,48.64N,2.07W
Dole,25787,47.10N,5.48E
Domont,18491,49.03N,2.33E
Douai,48095,50.37N,3.08E
Douarnenez,17050,48.10N,4.35W
Douchy-les-Mines,10112,50.30N,3.38E
Dourdan,10978,48.54N,2.01E
Draguignan,42398,43.55N,6.46E
Drancy,63209,48.94N,2.46E
Draveil,30577,48.68N,2.41E
Dreux,29923,48.74N,1.37E
Dugny,12912,48.95N,2.42E
Dunkirk,70534,51.04N,2.34E
Eaubonne,25415,49.00N,2.27E
Echirolles,32873,45.15N,5.71E
Ecully,19955,45.77N,4.75E
Elancourt,35082,48.78N,1.95E
Elbeuf,17329,49.29N,1.01E
Enghien-les-Bains,11546,48.96N,2.31E
Epernay,27649,49.04N,3.95E
Epinal,40584,48.18N,6.44E
Epinay-sous-Senart,12970,48.68N,2.51E
Epinay-sur-Orge,9688,48.67N,2.33E
Epinay-sur-Seine,46459,48.97N,2.30E
Equeurdreville-Hainneville,18971,49.66N,1.65W
Eragny,15274,49.02N,2.10E
Ermont,28889,49.00N,2.25E
Erstein,9592,48.43N,7.67E
Escaudain,9549,50.33N,3.34E
Etampes,24158,48.44N,2.16E
Etaples,11449,50.52N,1.64E
Evreux,60604,49.03N,1.14E
Evry,58901,48.64N,2.44E
Eybens,10758,45.15N,5.75E
Eysines,23523,44.88N,0.66W
Faches-Thumesnil,16302,50.58N,3.07E
Fache-Thumesnil,16207,50.59N,3.07E
Fameck,11817,49.30N,6.12E
Fecamp,22267,49.76N,0.38E
Feyzin,10504,45.67N,4.85E
Figeac,12369,44.61N,2.01E
Firminy,16541,45.40N,4.28E
Flers,17191,48.76N,0.57W
Fleury-les-Aubrais,21334,47.93N,1.93E
Fleury-Merogis,9331,48.64N,2.37E
Floirac,16480,44.84N,0.54W
Florange,10608,49.33N,6.12E
Foix,9943,42.97N,1.60E
Fondettes,9991,47.40N,0.60E
Fontaine,25376,45.18N,5.65E
Fontainebleau,21803,48.42N,2.70E
Fontaine-les-Dijon,9370,47.35N,5.02E
Fontenay-aux-Roses,25795,48.78N,2.28E
Fontenay-le-Comte,17360,46.47N,0.80W
Fontenay-le-Fleury,12737,48.82N,2.05E
Fontenay-sous-Bois,53312,48.85N,2.50E
Forbach,19770,49.19N,6.90E
Fosses,11148,49.10N,2.48E
Fos-sur-Mer,20051,43.44N,4.95E
Fougeres,24825,48.36N,1.22W
Fourmies,14061,50.02N,4.05E
Francheville,12570,45.74N,4.77E
Franconville,35321,48.98N,2.22E
Frejus,58391,43.45N,6.73E
Fresnes,24736,48.75N,2.32E
Freyming-Merlebach,14310,49.15N,6.79E
Frontignan,24630,43.46N,3.74E
Gagny,39849,48.89N,2.53E
Gaillac,13601,43.91N,1.90E
Gaillard,13286,46.18N,6.22E
Gap,46887,44.57N,6.08E
Garches,19761,48.84N,2.17E
Gardanne,22654,43.45N,5.45E
Garges-les-Gonesse,40093,48.97N,2.41E
Genas,14455,45.74N,5.00E
Gennevilliers,42538,48.93N,2.31E
Gentilly,15969,48.82N,2.33E
Gerardmer,10521,48.08N,6.88E
Gerzat,9502,45.84N,3.15E
Gex,10560,46.33N,6.07E
Gien,15879,47.69N,2.63E
Gif-sur-Yvette,25601,48.68N,2.13E
Gisors,13415,49.28N,1.77E
Givors,17825,45.60N,4.77E
Gonesse,28801,48.99N,2.45E
Gonfreville-l'Orcher,9760,49.50N,0.22E
Goussainville,32849,49.02N,2.47E
Gouvieux,9652,49.19N,2.42E
Gradignan,25493,44.76N,0.62W
Grand-Couronne,9432,49.35N,1.00E
Grande-Synthe,22885,51.01N,2.28E
Granville,14900,48.85N,1.59W
Grasse,50497,43.67N,6.92E
Graulhet,13057,43.77N,1.99E
Graveline,13442,50.99N,2.12E
Grenoble,160529,45.19N,5.72E
Grigny,25581,48.65N,2.39E
Guebwiller,13056,47.92N,7.21E
Guerande,18962,47.33N,2.43W
Gueret,16689,46.17N,1.87E
Guidel,10458,47.79N,3.49W
Guilherand-Granges,11758,44.94N,4.85E
Guipavas,14776,48.43N,4.40W
Gujan-Mestras,22935,44.64N,1.07W
Guyancourt,39502,48.77N,2.06E
Haguenau,43044,48.82N,7.78E
Halluin,21142,50.79N,3.13E
Harnes,13355,50.45N,2.89E
Haubourdin,16214,50.61N,2.98E
Hautmont,14969,50.26N,3.91E
Hayange,15495,49.33N,6.06E
Hazebrouck,24350,50.73N,2.53E
Hem,19572,50.66N,3.19E
Hendaye,15605,43.37N,1.77W
Henin-Beaumont,25128,50.41N,2.93E
Hennebont,14880,47.82N,3.26W
Herblay,26921,49.00N,2.16E
Hericourt,11497,47.58N,6.74E
Herouville-Saint-Clair,23947,49.21N,0.34W
Hirson,11487,49.93N,4.08E
Hoenheim,10974,48.63N,7.75E
Hombourg-Haut,9767,49.12N,6.78E
Houilles,32438,48.92N,2.18E
Hyeres,48427,43.13N,6.12E
Ifs,9832,49.13N,0.35W
Igny,10572,48.74N,2.21E
Illkirch-Graffenstaden,28972,48.53N,7.70E
Illzach,15352,47.79N,7.33E
Isbergues,10140,50.62N,2.45E
Issoire,17008,45.55N,3.24E
Issoudun,14644,46.95N,2.00E
Issy-les-Moulineaux,69876,48.83N,2.26E
Istres,48579,43.51N,4.98E
Ivry-sur-Seine,64006,48.82N,2.38E
Jarville-la-Malgrange,10362,48.68N,6.22E
Jeumont,10957,50.31N,4.10E
Joigny,12193,48.00N,3.40E
Joinville-le-Pont,19164,48.82N,2.46E
Joue-les-Tours,37895,47.36N,0.65E
Jouy-le-Moutier,20383,49.02N,2.03E
Juvisy-sur-Orge,12890,48.68N,2.38E
Kingersheim,13127,47.80N,7.32E
La Baule-Escoublac,19285,47.29N,2.40W
La Celle-Saint-Cloud,21660,48.85N,2.15E
La Chapelle-Saint-Luc,14904,48.33N,4.05E
La Chapelle-Saint-Mesmin,9922,47.88N,1.83E
La Chapelle-sur-Erdre,20320,47.31N,1.56W
La Ciotat,34430,43.18N,5.59E
La Courneuve,39386,48.93N,2.38E
La Crau,21170,43.15N,6.07E
La Ferte-Bernard,10730,48.18N,0.65E
La Ferte-sous-Jouarre,10298,48.95N,3.13E
La Fleche,20349,47.70N,0.08W
La Garde,30920,43.14N,6.03E
La Garenne-Colombes,28863,48.91N,2.24E
Lagny-sur-Marne,21898,48.88N,2.70E
La Londe-les-Maures,10132,43.13N,6.23E
La Madeleine,24318,50.65N,3.07E
Lamballe,13622,48.47N,2.52W
Lambersart,28782,50.66N,3.03E
La Motte-Servolex,15368,45.60N,5.88E
Landerneau,17114,48.46N,4.26W
Lanester,25784,47.77N,3.35W
Lannion,23810,48.75N,3.47W
Laon,29497,49.58N,3.63E
La Queue-en-Brie,12873,48.79N,2.58E
Larmor-Plage,9643,47.70N,3.38W
La Rochelle,74760,46.17N,1.18W
La Roche-sur-Foron,10768,46.07N,6.32E
La Roche-sur-Yon,66462,46.67N,1.44W
La Seyne-sur-Mer,63919,43.11N,5.87E
La Teste-de-Buch,30233,44.63N,1.16W
La Trinite,10236,43.75N,7.32E
Lattes,20704,43.57N,3.90E
Laval,48167,48.07N,0.78W
La Valette-du-Var,24318,43.14N,5.99E
Lavaur,9537,43.70N,1.83E
Laxou,16654,48.69N,6.15E
Le Blanc-Mesnil,49698,48.96N,2.47E
Le Bourget,13374,48.94N,2.42E
Le Bouscat,25354,44.87N,0.62W
Le Cannet,44439,43.59N,7.01E
Le Chambon-Feugerolles,12658,45.39N,4.31E
Le Chesnay,29766,48.84N,2.12E
Le Creusot,24525,46.81N,4.42E
Leers,9909,50.69N,3.25E
Le Grand-Quevilly,25974,49.41N,1.03E
Le Havre,179841,49.50N,0.12E
Le Kremlin-Bicetre,32277,48.81N,2.33E
Le Mans,141159,48.00N,0.20E
Le Mee-sur-Seine,23005,48.53N,2.63E
Lens,39493,50.44N,2.83E
Leognan,9392,44.73N,0.60W
Le Passage,9687,44.20N,0.60E
Le Pecq,16797,48.90N,2.11E
Le Perreux-sur-Marne,34147,48.84N,2.48E
Le Petit-Quevilly,22568,49.43N,1.03E
Le Plessis-Robinson,23521,48.78N,2.25E
Le Plessis-Trevise,20719,48.81N,2.57E
Le Pont-de-Claix,12079,45.12N,5.69E
Le Pontet,16561,43.96N,4.84E
Le Portel,11289,50.72N,1.58E
Le Pradet,13547,43.11N,6.01E
Le Pre-Saint-Gervais,19152,48.89N,2.39E
Le Puy-en-Velay,23224,45.05N,3.88E
Le Raincy,13506,48.90N,2.50E
Le Relecq-Kerhoun,12706,48.41N,4.41W
Les Andelys,9878,49.25N,1.42E
Lescar,11110,43.33N,0.42W
Les Clayes-sous-Bois,18570,48.83N,1.98E
Les Herbiers,16858,46.88N,1.02W
Les Lilas,22022,48.89N,2.40E
Les Mureaux,32630,49.00N,1.90E
Les Pavillons-sous-Bois,21114,48.91N,2.48E
Les Pennes-Mirabeau,20577,43.41N,5.31E
Les Ponts-de-Ce,13910,47.42N,0.52W
Les Sables-d'Olonne,16983,46.51N,1.78W
Les Ulis,25902,48.67N,2.17E
Levallois-Perret,69540,48.90N,2.29E
Le Vesinet,17450,48.90N,2.13E
Lezignan-Corbieres,9535,43.20N,2.77E
L'Hay-les-Roses,31477,48.78N,2.33E
Libourne,25576,44.92N,0.25W
Lievin,34690,50.42N,2.77E
Lille,260840,50.64N,3.07E
